65000 64999
1 57196 62371
2 15030 24607
3 23339 44482
4 39238 31011
5 35517 36757
5 54039 10635
6 94 32565
6 20886 62337
6 59394 63537
7 46370 54395
7 53465 18296
8 4768 7414
8 35620 34777
9 55798 2740
10 18526 28014
10 47054 54109
10 54415 49418
11 7021 43091
11 25265 51206
11 33169 26311
11 35988 59022
12 40261 51621
13 8625 22457
14 9785 24727
14 10860 56872
14 55195 2587
15 1765 45479
15 59258 22901
16 5816 48040
17 4536 47796
17 4841 17645
17 27217 57664
18 35630 38297
19 62433 20438
20 3005 18405
21 32664 48785
21 57595 29615
22 7899 47267
22 30141 20773
22 40883 17421
22 60783 2329
23 40862 34162
24 12370 62922
24 13776 38344
24 17643 10421
24 23316 56757
25 22106 23674
25 43155 22690
25 49071 53689
26 35903 63376
26 49242 24772
27 25213 19651
28 3306 467
28 40319 56841
28 63785 55063
29 3119 50341
29 59672 41192
30 21394 45175
30 46318 1525
31 985 59947
31 31443 39964
32 20363 12269
33 7576 50103
33 30162 34692
33 63729 35871
34 40688 49348
34 46158 17908
35 61832 35926
36 17650 38345
36 20922 1611
36 22522 58156
36 58987 54849
37 46854 29860
37 60873 40674
38 15777 31800
38 19402 41526
38 23594 7809
39 11982 53787
40 28381 53717
40 51323 57079
41 7366 57555
41 16179 45507
41 55719 47911
42 11676 922
42 24329 39449
42 48977 796
42 51519 4782
43 60353 9537
43 61435 20373
44 13105 15676
44 17025 41635
45 25650 35595
45 42326 28440
45 49103 25225
46 45814 34094
46 53656 40228
47 7799 3431
47 14638 15636
47 49341 12086
48 39409 2377
48 58506 9057
49 25669 56693
49 28354 2464
50 4408 31994
50 37403 19220
51 20944 53090
52 60948 5616
53 1149 62828
53 49022 41665
53 61095 63636
54 51269 14353
54 56552 50107
55 12260 54435
56 60758 4063
57 1292 41762
57 47215 48114
58 1136 5949
58 56640 49513
59 9321 20977
60 20885 61861
60 38554 61951
61 15207 28316
61 31630 3111
62 42946 58122
63 32108 6854
63 53127 25598
63 58912 16329
64 44867 24390
65 55020 35732
66 683 42586
66 39713 24570
67 34080 16094
68 4584 57578
68 13436 25145
68 40086 3577
69 18798 45597
70 15166 47408
70 19620 31556
70 38494 20886
70 49304 2926
71 64933 55083
72 11516 37468
72 50916 47410
73 1201 25045
73 5540 13423
74 21994 54264
74 31587 14104
74 33274 28464
75 19110 35555
75 49661 62947
76 22417 6409
76 57803 55429
77 1920 45156
77 37284 44823
77 41630 1377
78 46107 57021
79 7922 11258
79 9126 11235
79 25080 49761
80 16157 29308
80 26733 62778
81 13906 14991
81 16591 8538
81 51418 17670
82 45567 21742
82 63627 34097
83 44964 40141
83 49736 22386
84 46863 7577
85 16226 14257
85 61854 51143
86 22475 31653
87 3020 5513
87 3392 59281
87 5152 3188
88 7948 18829
88 15523 11755
89 27659 1577
90 44308 54765
90 44940 32846
91 10430 39159
91 13974 34621
91 17981 20518
91 43660 58072
92 37228 11219
93 572 25925
93 5962 10245
93 50865 57965
94 2432 54196
95 59173 6117
96 41294 30789
96 49508 45492
97 16524 60048
97 38143 58352
97 39806 32460
98 48069 56551
99 18223 13441
99 44584 58448
100 37172 9222
100 45377 26699
100 45679 29763
100 61009 32614
101 22979 46556
101 53418 50436
102 15016 7647
103 305 51765
104 7768 15396
104 16158 13842
104 27233 62394
105 12828 28962
105 25134 971
106 38226 1729
106 51319 21228
107 11379 55093
107 39538 44361
107 59659 49994
107 62908 1453
108 34034 49879
109 24278 30563
109 58193 22583
110 48521 57665
110 63490 19878
111 4957 9383
111 43202 59660
112 21666 14405
112 33927 46021
112 36733 28536
113 21398 23435
114 22281 54666
114 50375 22330
115 3127 48602
116 20196 20482
117 20252 58489
117 21000 64706
117 29810 40995
117 53620 14852
118 1413 2747
118 60228 39815
119 6063 14117
119 29239 46170
120 6888 4858
120 38936 36337
120 44298 56279
121 49461 57598
121 52000 14445
121 55291 60319
122 2044 18135
123 41497 35530
124 57368 14005
125 53071 63584
126 11877 35379
126 28060 334
126 28318 50543
126 31001 32936
127 21816 46318
127 43914 30132
128 50059 19039
129 1270 21200
129 38816 24382
129 51357 51811
130 6143 29537
130 20735 56345
131 29710 40760
131 33296 30357
131 54555 28405
132 57490 43302
133 39545 62945
133 42441 32489
133 48137 43610
134 36199 43794
134 57945 56488
135 11278 8737
136 8838 15554
136 10062 25954
136 64255 27324
137 29295 43011
137 30601 18660
137 50748 413
138 54986 53772
139 18887 62496
140 9196 64188
140 54946 53769
141 27913 25597
142 18852 58755
143 3641 40919
143 15500 49677
143 35009 28803
144 2618 14815
145 231 17296
145 4904 3412
145 43348 61181
146 40511 1273
147 218 63606
147 14767 21101
147 44084 35232
148 6029 48108
149 39448 42150
149 40547 59011
150 63035 23307
151 14820 21095
152 10647 54177
152 22614 15388
152 52718 35868
153 49262 64121
153 57845 38084
154 21095 28968
154 59504 14162
155 7923 26987
155 19221 37270
155 42295 18864
156 32293 26234
156 32932 11803
156 43740 63770
157 8948 64558
157 55302 7825
157 57142 370
158 9817 8939
159 62960 33586
160 27399 32309
160 52884 15337
161 61290 32895
162 52055 22781
163 61246 9461
163 62140 63397
164 42953 26155
165 31016 62518
166 1600 29995
166 59238 56745
167 8909 29033
167 13418 49122
167 21734 3816
168 49126 17126
169 33833 40152
170 25631 38195
170 27695 60413
171 14968 15158
171 29082 35557
172 11177 52197
173 5630 9320
173 46654 20243
174 2584 58324
174 37426 37785
175 34489 64791
176 38839 49489
177 48017 2471
177 50453 26842
177 63704 33887
178 39781 42474
179 22107 272
179 24330 28944
179 31365 55451
179 43905 39158
179 49021 20313
180 11660 62887
180 50289 41084
181 19544 11340
182 36617 48212
182 47949 40927
182 59351 55669
183 19155 16253
183 19316 58157
183 43447 49043
184 7098 165
184 29583 12822
185 59694 59456
186 20110 44945
186 51642 50059
187 61394 56522
188 25362 17721
189 15934 34191
189 37620 1270
190 21929 26992
190 43029 12227
191 16674 12306
191 45608 18811
192 23400 31400
192 56308 15508
193 23827 6885
193 39093 20503
194 21557 15074
194 35513 42810
194 62820 30361
195 30293 43001
196 31536 10469
197 6541 5412
197 64227 7047
197 64252 22849
198 20224 26432
198 40735 9556
199 20463 26391
199 25599 31355
199 53568 32251
200 40789 54762
201 8289 54054
202 3955 34640
202 8038 54852
202 39064 6458
202 39851 38205
202 63221 15426
203 43265 768
204 54030 40743
204 58996 8103
205 17946 42620
205 27323 23129
205 44561 47992
206 60853 9549
206 63129 34568
207 2066 30238
207 19900 5921
207 25863 7621
207 27915 22800
207 53757 48111
207 59390 18845
208 63780 36328
209 20323 16575
209 42199 10457
210 16578 51822
210 28924 39492
210 37111 51605
211 49557 143
211 51868 55505
212 14215 27174
213 7103 19459
213 26443 55467
214 18750 14197
214 40391 4212
214 45306 3933
214 64331 41516
215 62934 64780
215 62999 37560
216 63605 45287
217 53729 25018
217 55923 28056
219 63399 2441
220 9500 60333
220 51811 60165
221 17551 60762
222 5677 32951
222 40272 17637
223 6448 9704
223 13723 51460
224 2079 51850
224 30382 8248
224 59427 1553
225 17547 29335
225 58196 62751
226 15606 58951
226 32525 59883
226 59031 13489
227 6929 24086
227 32198 48888
227 48240 32065
228 63401 41088
229 7266 13698
229 52681 51583
230 20720 50800
231 64442 2145
232 31967 29303
232 61767 50299
233 8514 41711
233 13602 37618
234 44382 2833
235 5462 24374
235 48615 32405
236 37986 56554
